regulatoryGene	targetGene	weight
ATF6B	ARHGEF40	0.962008657332255
ARID3A	BACE2	0.936482748705185
ATF6B	AKAP11	0.918261710473932
ATF4	ABHD13	0.882506112663233
ARID3B	AP2A1	0.881359964406991
ARID3B	AC007405.6	0.878604618059338
ARID3B	ANKRD36C	0.873971847218342
ATF1	AC068282.3	0.864544803263051
ATF4	AIP	0.858827202055619
ARID3B	ANKRD16	0.857301605946741
ARNT2	BAX	0.85381528475655
ATF4	ANXA6	0.847394939538431
AR	AC093375.1	0.845656075754404
AR	ASCC1	0.840446798193919
ATF6B	ALG11	0.83738605414516
ATF6B	A2ML1-AS1	0.834232370892388
ATF4	B3GALT6	0.833503915385446
ARNT2	B3GAT1	0.826035819086083
ARID3A	ATG2A	0.821218994858533
ATF4	AARS2	0.819332393807225
ATF3	AC093627.9	0.814352546894869
ATF4	AMZ2P1	0.812825496076714
BBX	B4GALT6	0.810775057821865
ATF4	AZIN1-AS1	0.810504291988776
ATF4	ARHGEF11	0.802360075328198
BACH1	AGK	0.800749968865812
ATF4	ATG101	0.800480998264077
AR	APC	0.800289662647375
BBX	AP5M1	0.793691399523117
ATF4	ABL2	0.793052350930271
BBX	AC007566.10	0.790022138239807
ARID3A	AIM1	0.789926275177397
ATF4	ATG2B	0.778141130531691
AR	B3GAT3	0.77733598854164
ARID3B	ASL	0.77191002945591
ATF1	ANKMY2	0.771212681843737
ATF4	ATP8A1	0.767015413463307
ATF2	B3GNT5	0.766318674786446
ATF4	ARHGAP12	0.764596148163529
ATF6	BAG5	0.76218496375162
BBX	ATRAID	0.759587808980816
ATF4	ABHD12	0.75942346351034
ATF4	ATP8A2	0.756097129489815
ATF6	ATXN7L3	0.753258052847177
ARID3B	ACER3	0.742866985799813
ARID3A	ARHGEF26	0.741266830678893
ATF6B	ADAMTS7	0.738808386999574
BBX	ARFIP1	0.738737495416156
BBX	ATP6V1B2	0.737361744202571
ATF6	ANKRD42	0.735169833725506
AR	ARL14EP	0.732246089461769
ATF4	AGAP3	0.728062452686983
BACH1	AKNA	0.724973119175645
ATF2	ATP5I	0.722684117318771
ATF6	ACACB	0.719787944971497
ATF6B	ARF6	0.719557512653231
BACH1	ATXN7L2	0.714152426136283
ATF1	ARL10	0.712634771417116
BACH1	AGBL3	0.711725497052105
AR	AGO3	0.710558647362311
BBX	ARHGEF9	0.710536628434657
ATF2	ANKIB1	0.705207060656816
ATF2	ASB13	0.700352012705001
ARID3A	APELA	0.699806637134131
ARID3B	APIP	0.699686815058628
ARID3B	AP002954.4	0.695816045776351
ATF2	ASTN2	0.693787349793781
ATF4	ACTR3B	0.692802778224331
ARID3A	ALG13	0.69222152187272
ATF4	AGAP6	0.690763829854707
ARID3B	ARL4C	0.689167154694659
ATF2	ATP13A1	0.687007851610245
ARID2	AKT2	0.683690204799092
ATF1	AC005682.5	0.682315282387768
ATF6B	ARMC8	0.679224148098461
BBX	ASTN1	0.677652457182186
ATF4	AAR2	0.67649413562382
ATF4	ATP5G3	0.672883640054082
ATF4	B3GAT2	0.672701684237529
ATF1	AC011288.2	0.672305413921484
BBX	ACP6	0.670341414374138
ATF1	ATP6V1F	0.668463107445215
ATF4	AC004967.7	0.662610524369789
BBX	ABCC10	0.66238924601165
ARID3A	AGAP1	0.662256862488453
ATF4	AC005609.16	0.658334844479578
ARNT2	AC074289.1	0.65823524804073
BBX	ALDH2	0.656692327814268
BBX	ARHGEF16	0.653631026353393
ATF1	BAHD1	0.649154924882862
ARID2	AC069277.2	0.648294924876067
ARID3A	AP000769.1	0.648244566391068
ATF4	AGTPBP1	0.643092266952429
ARID3A	AC006994.2	0.642988539110114
ARID3A	ADGRL1	0.637919471976918
ATF2	AP1M1	0.63726632663916
ATF4	ANKMY1	0.633650547215354
ATF6B	AKAP10	0.62603392747325
